# Name | Longitude | Latitude | Width | Length | Height | R | G | B
理科教学楼（黄廷方楼）|116.30710668333333|39.99028755555556|45.0|65.0|30.0|0.6|0.6|0.6
英杰交流中心|116.30771306153846|39.98939210769231|40.0|60.0|20.0|0.7|0.6|0.6
地学楼|116.30568817142857|39.9904455|30.0|45.0|25.0|0.6|0.6|0.6
老化学楼|116.30570995000001|39.990061159999996|30.0|45.0|25.0|0.6|0.6|0.6
电化教学楼（智华楼）|116.30583169534883|39.988567153488376|35.0|50.0|25.0|0.6|0.6|0.6
老生物楼|116.30562323|39.99121571|30.0|45.0|25.0|0.6|0.6|0.6
体斋|116.30318838000001|39.99434618|15.0|35.0|12.0|0.6|0.5|0.4
勺园食堂|116.29953205454545|39.99041892727273|30.0|45.0|15.0|0.8|0.6|0.4
佟园餐厅（清真）|116.30068698|39.9897648|25.0|35.0|12.0|0.8|0.6|0.4
勺园1号楼|116.29986037142858|39.990100771428565|20.0|45.0|20.0|0.6|0.6|0.5
勺园3号楼|116.29982244285713|39.99074555714286|20.0|45.0|20.0|0.6|0.6|0.5
勺园2号楼|116.29979620588236|39.99043068823529|20.0|45.0|20.0|0.6|0.6|0.5
新太阳学生中心（16楼-18楼）|116.304781875|39.98761023|40.0|55.0|25.0|0.5|0.6|0.7
燕南食堂|116.30411047142857|39.98925472857143|30.0|40.0|15.0|0.8|0.6|0.4
伟利楼|116.30433928|39.992261459999995|25.0|35.0|20.0|0.6|0.6|0.6
健斋|116.30333123999999|39.99451494|15.0|35.0|12.0|0.6|0.5|0.4
阿卜杜勒·阿齐兹国王公共图书馆北京大学分馆（古籍图书馆）|116.3033211|39.991522833333335|35.0|45.0|20.0|0.7|0.5|0.4
生物标本馆|116.30549174285714|39.991607571428574|25.0|35.0|18.0|0.6|0.6|0.6
北大附中实验学校 阅览楼|116.29585634|39.99239218|30.0|45.0|20.0|0.6|0.6|0.6
方楼|116.306312|39.99231058|30.0|30.0|25.0|0.6|0.6|0.6
保护生物学楼|116.29981304|39.99577212|25.0|40.0|20.0|0.6|0.7|0.6
保护生物学新楼|116.29984099999999|39.995572422222224|30.0|45.0|22.0|0.6|0.7|0.6
生物技术楼|116.29971661666667|39.99526048333333|25.0|40.0|20.0|0.6|0.7|0.6
燕园大厦|116.30892345714285|39.9865236|35.0|50.0|45.0|0.5|0.5|0.6
经济学院（孝义金晖楼）|116.30675241111112|39.99556101851852|40.0|55.0|30.0|0.7|0.6|0.6
64号楼|116.29638462|39.992891279999995|20.0|45.0|18.0|0.7|0.6|0.5
65号楼|116.29742773333334|39.99291935555556|20.0|45.0|18.0|0.7|0.6|0.5
畅春园食堂|116.29769864545455|39.992806836363634|30.0|40.0|15.0|0.8|0.6|0.4
59号楼|116.29741912|39.99226571|20.0|45.0|18.0|0.7|0.6|0.5
58号楼|116.29749442222221|39.99192592222222|20.0|45.0|18.0|0.7|0.6|0.5
57号楼|116.29754092222223|39.991618433333336|20.0|45.0|18.0|0.7|0.6|0.5
61号楼|116.2963840875|39.9921947|20.0|45.0|18.0|0.7|0.6|0.5
62号楼|116.29648737142858|39.991875699999994|20.0|45.0|18.0|0.7|0.6|0.5
63号楼|116.29641976|39.99153562|20.0|45.0|18.0|0.7|0.6|0.5
60号楼|116.2964152|39.99251292857143|20.0|45.0|18.0|0.7|0.6|0.5
教学楼|116.29524471764705|39.991854100000005|30.0|55.0|20.0|0.6|0.6|0.6
