id,type,name,highway,point_count,coordinates
way/33456956,LineString,,service,2,"116.3120128,39.9960627;116.3119459,39.9967356"
way/33457009,LineString,,footway,2,"116.3131913,40.0013677;116.3132013,40.0013323"
way/33457218,LineString,,service,4,"116.3107884,39.9988853;116.310731,39.9993821;116.3105881,40.0003441;116.3105294,40.0006889"
way/33457231,LineString,,service,6,"116.3113993,39.9989283;116.3107884,39.9988853;116.3101932,39.9988482;116.3101348,39.9993338;116.3100201,40.0003121;116.3099624,40.0006371"
way/33457266,LineString,未名湖东路,service,21,"116.3047211,39.9947539;116.3047324,39.9947059;116.3047667,39.9946335;116.3048311,39.9945448;116.3048976,39.9944889;116.305023,39.9943886;116.3051097,39.9943192;116.3051528,39.9942714;116.3051885,39.9942375;116.3054438,39.9936242;116.3053945,39.9932263;116.3053913,39.9929839;116.3054488,39.9927438;116.3054857,39.9926552;116.3056511,39.9924092;116.3058675,39.9920871;116.3059375,39.9919705;116.3060249,39.9918029;116.3061177,39.9917385;116.3062162,39.9916909;116.3063146,39.9916188"
way/33457271,LineString,,service,7,"116.3046036,39.9964913;116.3043802,39.9964088;116.3041465,39.9963795;116.3037827,39.9963333;116.3036884,39.9962856;116.3036374,39.9962331;116.3036001,39.9961909"
way/33457307,LineString,理教西路,residential,15,"116.3065184,39.9886735;116.3064935,39.9889675;116.3064815,39.9891709;116.3064393,39.989573;116.3064244,39.989705;116.3064146,39.9897919;116.3063789,39.9902667;116.3063755,39.9903323;116.3063573,39.990685;116.3063453,39.9908614;116.3063316,39.9910617;116.3063109,39.991479;116.30631,39.9914972;116.3063057,39.9915758;116.3063146,39.9916188"
way/33457361,LineString,东南门内大街,residential,13,"116.3065184,39.9886735;116.306734,39.9886826;116.3067716,39.9886842;116.3071552,39.9887004;116.3072664,39.9887051;116.3077765,39.9887266;116.3078257,39.9887287;116.3081871,39.988744;116.3087788,39.988769;116.3089602,39.9887767;116.3091229,39.9887836;116.309229,39.9887881;116.3094367,39.9887974"
way/33457409,LineString,科学路,residential,7,"116.3052974,39.9906472;116.3057295,39.9906626;116.3063573,39.990685;116.3075238,39.990735;116.307851,39.990749;116.3090649,39.9907899;116.3093076,39.9907995"
way/33457522,LineString,,service,7,"116.3090208,39.9917546;116.3090235,39.9915735;116.3090297,39.9914549;116.3090649,39.9907899;116.3091065,39.9901525;116.3091875,39.9892504;116.309229,39.9887881"
way/33457660,LineString,,residential,9,"116.312301,39.9909431;116.3122926,39.9910293;116.3122702,39.9912176;116.3121902,39.9920284;116.3121705,39.9923178;116.3121553,39.9926498;116.3121191,39.9930952;116.3121727,39.9931557;116.3121472,39.9935096"
way/34319868,LineString,北四环西路辅路,tertiary,3,"116.3102652,39.9844495;116.310156,39.984446;116.3100262,39.984442"
way/40696643,LineString,科学院南路,tertiary,10,"116.3186075,39.9840108;116.3186314,39.9835269;116.3186383,39.9833191;116.3186481,39.9831395;116.3186528,39.983028;116.3186578,39.9829108;116.3186687,39.9826698;116.3186834,39.9823435;116.3187527,39.9809971;116.3188198,39.9796948"
way/42364942,LineString,,service,8,"116.3208322,39.9967545;116.3208252,39.9968471;116.3208154,39.9970965;116.320822,39.9973323;116.3208348,39.9974821;116.3208884,39.9979165;116.3209447,39.9982623;116.320948,39.9983183"
way/42367942,LineString,,footway,2,"116.3109849,39.9791352;116.310473,39.9791184"
way/42367952,LineString,北四环西路,trunk,3,"116.3000348,39.9837931;116.3040629,39.9838898;116.3050943,39.9839075"
way/42454101,LineString,北四环西路辅路,tertiary,12,"116.3103026,39.983938;116.3104285,39.9839414;116.3104953,39.9839399;116.31211,39.9839747;116.3125878,39.9839917;116.3127874,39.9839977;116.3129789,39.9840024;116.3137712,39.9840207;116.3138311,39.9840221;116.3140019,39.984027;116.3143476,39.9840394;116.3154597,39.9840427"
way/44780841,LineString,科翔路,unclassified,4,"116.3212024,39.9824092;116.3199963,39.9823783;116.319039,39.9823586;116.3186834,39.9823435"
way/44780842,LineString,,residential,3,"116.319039,39.9823586;116.3190234,39.9829271;116.3189972,39.9835341"
way/44780843,LineString,,residential,3,"116.3189972,39.9835341;116.3188205,39.9835317;116.3186314,39.9835269"
way/44780846,LineString,,footway,8,"116.3200334,39.9832189;116.319951,39.9832188;116.3199658,39.9829436;116.3199963,39.9823783;116.3200234,39.9815867;116.320043,39.9810133;116.3200504,39.9807959;116.3212966,39.9808292"
way/44780847,LineString,,footway,2,"116.319695,39.9829398;116.3199658,39.9829436"
way/44780848,LineString,,steps,2,"116.3186578,39.9829108;116.3190234,39.9829271"
way/44780851,LineString,,footway,2,"116.3200234,39.9815867;116.3212491,39.9816268"
way/46426196,LineString,,service,5,"116.3180687,39.9911727;116.3180638,39.9912668;116.3180618,39.9913185;116.3180606,39.9913625;116.318059,39.9914193"
way/46426199,LineString,,residential,5,"116.3204539,39.9931367;116.3204054,39.9936534;116.3203695,39.9938379;116.3202854,39.9942698;116.3202058,39.99469"
way/72590878,LineString,,residential,4,"116.3166884,39.9840626;116.3167318,39.9830675;116.3168099,39.981549;116.3169047,39.9797043"
way/72701010,LineString,中关村北二条,residential,11,"116.3239287,39.9884056;116.3238464,39.9883783;116.3235561,39.988254;116.3234594,39.9882301;116.3233834,39.9882163;116.3232925,39.9882124;116.3208806,39.9881571;116.3197699,39.9881624;116.3191202,39.9881254;116.3173699,39.9880256;116.315497,39.9879189"
way/72701069,LineString,三才堂南街,residential,2,"116.3210837,39.9896935;116.3224288,39.9897439"
way/72701418,LineString,,residential,6,"116.3203903,39.9912611;116.3203901,39.9913273;116.3203871,39.991366;116.3203813,39.9914426;116.3203423,39.9919609;116.3202745,39.993084"
way/78029371,LineString,,footway,14,"116.2924592,40.0019946;116.2923789,40.0020912;116.2922987,40.0021424;116.2921354,40.0021884;116.2920101,40.0022198;116.2919819,40.0022405;116.2919374,40.002273;116.2918645,40.0023887;116.2917956,40.0024909;116.291732,40.0025468;116.2916932,40.0026116;116.2916738,40.0027116;116.2916463,40.0028401;116.2913484,40.0027929"
way/78029373,LineString,,footway,34,"116.2836612,40.0009325;116.2845726,40.0010247;116.2850138,40.0010694;116.2855044,40.0010559;116.2863607,40.001244;116.2867064,40.0012467;116.2871323,40.00125;116.2874637,40.0012525;116.287918,40.0012887;116.288535,40.0013379;116.2893452,40.0014334;116.2909266,40.0015468;116.291838,40.0016512;116.2919315,40.0017616;116.2921161,40.0017755;116.292491,40.0018038;116.2924592,40.0019946;116.2926691,40.0020016;116.2928394,40.0019769;116.2929764,40.0020642;116.2932185,40.0021617;116.2933059,40.0023385;116.2933392,40.002476;116.2933492,40.0026236;116.293306,40.0027611;116.2933562,40.0029181;116.2936422,40.0029486;116.2938806,40.002974;116.2939981,40.0029865;116.2944206,40.00301;116.294648,40.0031519;116.2947261,40.003236;116.2947288,40.0036484;116.2947292,40.0037089"
way/78241020,LineString,海淀大街,residential,5,"116.2967011,39.9832718;116.2973481,39.9829863;116.2980707,39.9826842;116.2994054,39.9827139;116.2994914,39.9827158"
