# Name | OuterRing | HoleRing1 | HoleRing2 | ...
# 每个 Ring 格式为: lon1,lat1;lon2,lat2;...;lonN,latN（不含闭合重复点）
北京大学国际关系学院|116.3004768,39.990942;116.3004819,39.990771;116.3004444,39.9907704;116.3004556,39.9903954;116.3004963,39.9903961;116.3004994,39.9902942;116.3004797,39.9902938;116.3004881,39.9900097;116.3005092,39.9900101;116.3005113,39.9899365;116.3005527,39.9899372;116.3005534,39.9899124;116.3009919,39.9899199;116.3009803,39.9903207;116.3009455,39.9903201;116.3009449,39.9903401;116.3005591,39.9903334;116.3005572,39.9904004;116.3006169,39.9904014;116.3006059,39.9907737;116.3005283,39.9907724;116.3005271,39.9908125;116.3005376,39.9908127;116.3009404,39.9908198;116.3009355,39.990985;116.3005329,39.9909779;116.300534,39.990943
勺园6号楼|116.2994048,39.9896876;116.2994164,39.9895132;116.300015,39.9895365;116.3000161,39.989521;116.3002815,39.9895313;116.300271,39.9896902;116.3000285,39.9896808;116.3000265,39.9897117;116.2995155,39.9896919
勺园7号楼|116.2999781,39.9894819;116.2999818,39.9893874;116.2998914,39.9893854;116.2998993,39.9892593;116.2999819,39.9892617;116.2999831,39.9892306;116.2998048,39.9892266;116.2998143,39.9889794;116.2998,39.9889791;116.2998029,39.9888995;116.2998275,39.9889;116.2998341,39.9887126;116.3002094,39.9887204;116.3002,39.9889904;116.3002683,39.9890562;116.3002636,39.9891314;116.3002109,39.9891719;116.3001973,39.9894443;116.3001427,39.9894856
勺园8号楼|116.2993076,39.9893793;116.2993059,39.9894069;116.299188,39.9894025;116.299167,39.9893779;116.2991206,39.9893761;116.2991251,39.9893044;116.2991905,39.9893068;116.299195,39.9892356;116.2993112,39.9892399;116.2993124,39.9892201;116.2997184,39.9892351;116.2997173,39.9892526;116.2998993,39.9892593;116.2998914,39.9893854;116.2998894,39.9894168;116.2996452,39.9894077;116.2996462,39.9893917
勺园9号楼|116.29919,39.9889642;116.2991922,39.9889105;116.2991743,39.9889101;116.2991786,39.9888057;116.2991941,39.9888061;116.2992004,39.9886547;116.2993192,39.9886576;116.2993133,39.9887993;116.2992567,39.9887979;116.2992553,39.9888317;116.2997321,39.9888433;116.2997265,39.9889772
学五食堂|116.3010603,39.9877908;116.300572,39.9877811;116.3005819,39.9874906;116.3010702,39.9875004
31楼|116.3024027,39.987408;116.3024104,39.9872457;116.3023911,39.9872451;116.3024088,39.9868755;116.3024265,39.986876;116.3024342,39.986713;116.3028072,39.9867234;116.3027992,39.986892;116.3026472,39.9868878;116.3026384,39.987072;116.3026303,39.9872424;116.3027852,39.9872468;116.3027771,39.9874185
29楼|116.3029086,39.9874248;116.3029171,39.9872496;116.303241,39.9872589;116.3036841,39.9872716;116.3036755,39.9874469
30楼|116.3029342,39.9868962;116.3029437,39.98672;116.3037136,39.9867446;116.3037041,39.9869207;116.3032785,39.9869072
28楼|116.3038352,39.9874534;116.3038427,39.98728;116.3040074,39.9872842;116.3040228,39.9869302;116.3038589,39.986926;116.303866,39.9867633;116.3042329,39.9867726;116.3042256,39.9869413;116.3042387,39.9869416;116.3042328,39.9870771;116.3042232,39.9872952;116.3042105,39.9872949;116.3042032,39.9874628
农园餐厅|116.3058566,39.9879558;116.3058929,39.98733;116.3060868,39.9873366;116.3061028,39.9870611;116.3064651,39.9870734;116.3064129,39.9879747
教育学院|116.3054293,39.9879776;116.3054733,39.9873451;116.3057543,39.9873566;116.3057104,39.9879891
对外汉语教育学院及信息管理系（方李邦琴楼）|116.3055527,39.9864891;116.305563,39.9863493;116.3058521,39.9863619;116.3058475,39.9864233;116.30588,39.9864247;116.3058428,39.9869271;116.3058012,39.9869253;116.3057954,39.987003;116.3055122,39.9869906;116.3055227,39.9868489;116.3055804,39.9868514;116.3055964,39.9866362;116.3056072,39.9864915
新闻与传播学院（蒙民伟楼）|116.3055807,39.986089;116.30559,39.9859491;116.3056671,39.9859521;116.3056833,39.9857158;116.3056915,39.9855879;116.3056284,39.9855854;116.3056374,39.9854513;116.3059043,39.9854618;116.3058995,39.9855336;116.3059515,39.9855356;116.3059185,39.9860281;116.3058798,39.9860266;116.3058749,39.9861005
资源楼|116.3059156,39.9854544;116.3059211,39.9853293;116.3085263,39.9853978;116.3085245,39.9855662;116.3075938,39.9855396;116.3075878,39.9854842;116.3073432,39.9854746;116.3073406,39.9854449;116.3070226,39.985443;116.3070188,39.9854751;116.3067623,39.9854676;116.3067553,39.9855268;116.3063364,39.9855158;116.3060958,39.9855095;116.306098,39.9854591
五四体育中心|116.3061349,39.9868423;116.3061626,39.9864205;116.3061856,39.9860707;116.3061451,39.9860691;116.3061525,39.9859567;116.306191,39.9859582;116.3062108,39.9856567;116.3064432,39.9856657;116.3063653,39.9868512
45甲楼|116.2993843,39.9883319;116.2993902,39.9880729;116.2994778,39.9880753;116.2994787,39.9880566;116.3002247,39.9880775;116.3002179,39.988219;116.2995566,39.9882005;116.2995559,39.9882143;116.299567,39.9882148;116.2995575,39.988336
45乙楼|116.2993752,39.9885534;116.2993843,39.9883319;116.2995575,39.988336;116.2995535,39.9884339;116.3002505,39.9884506;116.3002442,39.9886065;116.3000143,39.988601;116.3000147,39.988591;116.2998894,39.988588;116.299889,39.9885976;116.2997319,39.9885938;116.2997323,39.9885838;116.2996883,39.9885827;116.2996879,39.988592;116.2994592,39.9885865;116.2994605,39.9885554
45楼|116.2993799,39.9879309;116.2993884,39.9877782;116.299534,39.987783;116.2995379,39.9877125;116.3002927,39.9877374;116.300286,39.9878565;116.2995352,39.9878319;116.2995294,39.9879358
岛厅|116.3034908,39.993452;116.3034488,39.9934158;116.3034515,39.9933705;116.3034957,39.9933404;116.3035563,39.9933416;116.3035983,39.9933742;116.303597,39.9934187;116.303553,39.9934532
北阁|116.3013275,39.9918602;116.3013319,39.9916933;116.3015456,39.9916966;116.3015411,39.9918635
南阁|116.3013387,39.9915287;116.3013415,39.9913622;116.3015608,39.9913644;116.301558,39.9915308
临湖轩|116.3027965,39.9923352;116.3028033,39.9921832;116.3028594,39.9921846;116.3028553,39.9922762;116.3030629,39.9922817;116.3030674,39.9921808;116.3031912,39.9921841;116.3031868,39.9922838;116.3032933,39.9922866;116.3032906,39.9923481
